text_length,count
9,1
10,3
11,1
12,3
15,1
17,1
20,1
21,1
23,4
24,5
25,2
26,2
29,5
30,1
31,2
32,5
33,5
34,7
35,3
36,7
37,5
38,8
39,8
40,8
41,10
42,13
43,12
44,13
45,14
46,13
47,14
48,10
49,17
50,20
51,16
52,15
53,19
54,15
55,18
56,14
57,14
58,22
59,20
60,24
61,14
62,14
63,21
64,17
65,13
66,24
67,13
68,24
69,18
70,21
71,13
72,24
73,24
74,28
75,31
76,29
77,20
78,17
79,21
80,17
81,19
82,23
83,27
84,12
85,12
86,20
87,15
88,26
89,19
90,20
91,14
92,15
93,15
94,19
95,18
96,15
97,13
98,10
99,22
100,24
101,19
102,19
103,23
104,20
105,14
106,23
107,27
108,21
109,21
110,25
111,21
112,18
113,23
114,16
115,25
116,18
117,20
118,23
119,20
120,19
121,23
122,23
123,23
124,20
125,21
126,29
127,24
128,22
129,25
130,28
131,18
132,20
133,12
134,11
135,19
136,18
137,16
138,15
139,22
140,10
141,25
142,18
143,18
144,21
145,18
146,18
147,12
148,24
149,13
150,12
151,15
152,14
153,12
154,16
155,13
156,21
157,19
158,16
159,11
160,21
161,19
162,21
163,25
164,21
165,22
166,22
167,21
168,20
169,14
170,20
171,15
172,24
173,24
174,17
175,21
176,18
177,22
178,16
179,21
180,17
181,23
182,18
183,19
184,21
185,22
186,23
187,27
188,21
189,15
190,20
191,19
192,23
193,23
194,29
195,20
196,25
197,36
198,40
199,30
200,28
201,15
202,25
203,23
204,23
205,27
206,27
207,17
208,19
209,12
210,22
211,30
212,27
213,27
214,25
215,7
216,22
217,16
218,20
219,23
220,17
221,19
222,24
223,18
224,17
225,21
226,13
227,21
228,17
229,20
230,25
231,12
232,20
233,14
234,18
235,17
236,14
237,19
238,15
239,19
240,19
241,20
242,12
243,15
244,18
245,12
246,8
247,14
248,16
249,15
250,17
251,20
252,10
253,18
254,12
255,22
256,12
257,14
258,11
259,14
260,17
261,20
262,16
263,19
264,23
265,19
266,7
267,21
268,13
269,12
270,15
271,22
272,5
273,13
274,11
275,6
276,10
277,10
278,12
279,16
280,15
281,15
282,6
283,12
284,15
285,17
286,7
287,10
288,12
289,14
290,17
291,9
292,15
293,12
294,15
295,9
296,6
297,10
298,13
299,12
300,13
301,15
302,20
303,10
304,24
305,18
306,10
307,15
308,12
309,11
310,13
311,9
312,10
313,21
314,12
315,13
316,11
317,9
318,13
319,17
320,11
321,13
322,12
323,16
324,14
325,13
326,12
327,12
328,10
329,11
330,14
331,15
332,17
333,10
334,15
335,16
336,16
337,15
338,10
339,12
340,17
341,8
342,16
343,12
344,11
345,11
346,13
347,14
348,13
349,10
350,10
351,11
352,15
353,16
354,15
355,13
356,13
357,9
358,17
359,10
360,13
361,8
362,14
363,15
364,8
365,9
366,12
367,10
368,14
369,14
370,17
371,14
372,13
373,13
374,16
375,21
376,12
377,15
378,9
379,11
380,11
381,12
382,7
383,9
384,11
385,11
386,12
387,8
388,10
389,10
390,10
391,12
392,11
393,14
394,6
395,13
396,13
397,10
398,12
399,14
400,9
401,12
402,13
403,11
404,15
405,9
406,10
407,11
408,8
409,7
410,14
411,14
412,14
413,12
414,10
415,8
416,11
417,9
418,14
419,8
420,10
421,11
422,10
423,8
424,7
425,13
426,14
427,12
428,7
429,12
430,9
431,7
432,9
433,11
434,11
435,11
436,11
437,11
438,7
439,9
440,8
441,7
442,11
443,10
444,8
445,13
446,13
447,9
448,8
449,8
450,8
451,9
452,9
453,4
454,7
455,5
456,12
457,12
458,14
459,7
460,10
461,5
462,6
463,10
464,6
465,5
466,6
467,7
468,9
469,8
470,8
471,10
472,9
473,11
474,9
475,9
476,11
477,5
478,12
479,2
480,3
481,11
482,10
483,14
484,6
485,11
486,17
487,8
488,6
489,10
490,13
491,12
492,4
493,7
494,9
495,7
496,6
497,5
498,5
499,6
500,9
501,5
502,9
503,7
504,7
505,14
506,7
507,7
508,6
509,6
510,11
511,6
512,9
513,4
514,8
515,5
516,8
517,13
518,6
519,10
520,12
521,9
522,6
523,4
524,6
525,12
526,8
527,6
528,5
529,3
530,7
531,10
532,3
533,7
534,9
535,6
536,7
537,8
538,5
539,8
540,9
541,5
542,7
543,8
544,4
545,6
546,9
547,11
548,7
549,9
550,8
551,9
552,5
553,4
554,5
555,9
556,5
557,4
558,4
559,7
560,6
561,4
562,10
563,9
564,9
565,4
566,5
567,5
568,12
569,6
570,9
571,6
572,8
573,6
574,5
575,9
576,10
577,7
578,8
579,4
580,7
581,1
582,9
583,8
584,3
585,7
586,10
587,2
588,4
589,5
590,10
591,7
592,7
593,7
594,10
595,9
596,10
597,3
598,2
599,2
600,3
601,3
602,6
603,1
604,5
605,4
606,5
607,7
608,7
609,4
610,5
611,5
612,9
613,3
614,3
615,1
616,9
617,5
618,4
619,4
620,9
621,6
622,7
623,9
624,5
625,5
626,4
627,3
628,7
629,7
630,5
631,8
632,3
633,7
634,7
635,5
636,5
637,8
638,9
639,5
640,5
641,4
642,6
643,7
644,5
645,8
646,8
647,3
648,7
649,1
650,6
651,6
652,6
653,5
654,5
655,10
656,4
657,4
658,7
659,4
660,9
661,5
662,5
663,7
664,3
665,7
666,4
667,1
668,6
669,8
670,9
671,12
672,10
673,2
674,8
675,5
676,2
677,5
678,5
679,7
680,6
681,2
682,8
683,5
684,3
685,6
686,7
687,3
688,4
689,2
690,9
691,7
692,6
693,2
694,6
695,7
696,6
697,5
698,5
699,3
700,4
701,2
702,4
703,5
704,4
705,6
706,7
707,4
708,3
709,4
710,4
711,3
712,8
713,5
714,4
715,4
716,1
717,5
718,4
719,4
720,3
721,3
722,1
723,9
724,8
725,9
726,3
727,2
728,7
729,6
730,5
731,5
732,3
733,6
734,5
735,3
736,6
737,4
738,7
739,5
740,6
741,3
742,6
743,6
744,4
745,3
746,3
747,2
748,3
749,2
750,4
751,5
752,4
753,1
754,4
755,5
756,4
757,4
758,6
759,7
760,1
761,8
762,2
763,6
764,5
765,3
766,6
767,4
768,2
769,2
770,1
771,2
772,4
773,3
774,6
775,4
776,7
777,8
778,3
779,5
780,3
781,3
782,3
783,3
784,2
785,3
786,1
787,4
788,2
789,4
790,3
791,3
792,3
793,6
794,4
795,5
796,6
797,4
798,1
799,4
801,2
802,4
803,5
804,3
805,3
806,2
807,4
809,7
810,3
811,4
812,2
813,3
814,6
815,3
816,6
817,3
818,1
820,2
821,9
822,5
823,2
824,2
825,4
827,6
828,1
829,2
830,3
831,2
832,2
833,1
834,1
835,3
836,3
837,2
838,1
839,1
840,2
841,5
842,4
843,2
844,4
845,3
846,3
847,7
848,3
849,3
850,5
851,3
853,2
854,2
855,3
856,2
857,3
858,1
859,3
860,2
861,2
862,2
863,2
864,2
866,1
869,3
870,2
871,3
872,2
873,2
874,3
875,2
876,4
878,3
879,7
881,4
883,2
884,2
885,4
887,3
888,3
889,6
890,2
891,4
893,2
894,3
895,3
896,3
897,1
898,3
899,3
900,2
901,3
902,4
903,2
904,2
905,2
906,2
908,2
909,2
910,2
911,3
912,2
913,2
914,2
915,4
916,2
917,1
919,3
920,2
921,3
922,4
923,1
924,4
926,1
927,5
928,3
929,3
930,4
932,2
934,2
937,3
938,6
939,1
940,4
941,4
942,1
943,3
945,2
946,1
947,2
949,1
950,3
951,2
952,2
953,1
954,2
956,2
957,1
958,3
959,2
960,1
961,1
962,2
963,1
967,2
968,2
969,1
970,1
971,1
972,2
974,4
976,2
978,2
979,1
980,3
982,2
983,4
984,5
985,2
986,1
987,2
989,3
991,1
992,1
993,3
995,3
996,1
997,1
998,2
999,1
1000,1
1001,1
1002,3
1003,4
1004,3
1005,1
1006,2
1009,1
1010,4
1012,1
1013,2
1015,1
1016,2
1017,1
1018,3
1019,2
1020,2
1022,2
1024,3
1025,1
1026,2
1027,2
1028,3
1029,2
1031,2
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,2
1040,1
1042,1
1043,1
1044,1
1045,3
1046,1
1047,1
1048,2
1049,1
1050,2
1052,1
1053,2
1054,1
1055,2
1056,2
1057,4
1058,2
1061,2
1062,1
1063,2
1064,2
1067,5
1068,1
1069,1
1070,1
1071,1
1072,2
1075,1
1076,3
1077,1
1078,1
1080,1
1081,2
1087,1
1088,3
1089,3
1090,3
1091,3
1094,2
1097,1
1099,1
1100,1
1101,1
1102,1
1104,4
1107,1
1108,1
1110,1
1111,2
1113,2
1114,1
1117,1
1118,1
1119,1
1121,2
1122,3
1125,1
1127,2
1128,2
1129,3
1130,2
1131,1
1133,1
1134,1
1135,2
1138,1
1139,1
1140,2
1141,1
1142,3
1143,3
1145,1
1146,2
1147,1
1148,1
1150,2
1152,3
1153,2
1155,1
1159,2
1160,2
1161,2
1163,1
1164,2
1167,3
1168,1
1169,2
1171,1
1172,1
1174,1
1176,1
1179,2
1181,1
1183,1
1184,2
1186,1
1187,1
1189,2
1191,2
1194,2
1196,1
1197,1
1199,3
1202,5
1203,1
1204,2
1205,3
1207,3
1208,2
1210,1
1211,1
1216,1
1217,2
1218,1
1219,1
1221,1
1222,1
1223,2
1224,1
1227,1
1228,1
1229,1
1230,1
1231,1
1234,1
1236,2
1238,1
1239,2
1241,2
1243,1
1244,1
1245,1
1249,2
1250,1
1251,2
1252,2
1253,1
1255,1
1257,3
1259,1
1261,1
1262,1
1263,1
1265,1
1266,1
1268,1
1272,1
1274,1
1275,1
1276,2
1277,1
1279,1
1280,1
1281,1
1283,2
1285,2
1286,2
1287,1
1290,2
1291,2
1293,1
1296,1
1297,1
1298,1
1299,1
1302,1
1304,2
1305,1
1307,2
1313,1
1316,2
1318,1
1319,1
1320,2
1321,4
1322,1
1330,1
1331,1
1335,1
1337,1
1342,1
1344,1
1345,1
1347,1
1349,1
1351,1
1359,1
1367,1
1369,1
1372,1
1373,2
1389,2
1396,1
1401,1
1408,1
1411,2
1414,1
1416,1
1420,1
1423,2
1427,1
1428,1
1433,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1446,1
1447,1
1469,1
1470,1
1483,1
1484,1
1487,1
1488,1
1489,1
1490,2
1491,1
1498,1
1501,1
1508,1
1510,1
1512,1
1522,1
1536,1
1538,1
1540,1
1548,1
1549,4
1551,1
1552,1
1568,1
1577,1
1585,1
1586,1
1587,1
1591,1
1599,1
1605,1
1618,1
1627,2
1632,1
1642,1
1658,1
1663,1
1665,1
1676,1
1679,1
1682,1
1685,1
1691,1
1708,1
1712,1
1738,1
1746,1
1769,1
1773,1
1776,1
1779,1
1783,1
1786,1
1791,1
1798,1
1809,1
1817,1
1826,1
1832,1
1833,1
1842,1
1860,1
1863,2
1872,2
1887,1
1899,1
1909,1
1926,1
1933,1
1940,1
1949,1
1953,1
1980,1
1982,1
2000,1
2003,1
2023,1
2026,1
2029,1
2035,1
2056,2
2058,1
2065,1
2079,1
2096,1
2112,1
2122,2
2136,1
2139,1
2146,1
2149,1
2204,1
2205,1
2210,1
2214,1
2224,1
2228,1
2268,1
2289,1
2294,1
2296,1
2338,1
2412,1
2460,1
2461,1
2463,1
2469,1
2479,1
2503,1
2522,1
2688,1
2739,1
2828,1
2918,1
2968,1
3059,1
3080,1
3246,1
3618,1
3713,1
3827,1
4025,1
4162,1
4296,1
5382,1
5413,1
6223,1
10799,1
